year,geo,disagg,value
1990,USA,Total,13.03
1992,USA,Total,23.42
1994,USA,Total,20.05
1996,USA,Total,29.31
1998,USA,Total,24.32
2000,USA,Total,39.26
2002,USA,Total,30.28
2004,USA,Total,32.24
2006,USA,Total,27.32
2008,USA,Total,47.43
2010,USA,Total,45.19
2012,USA,Total,105.02
2014,USA,Total,80.54
2016,USA,Total,118.84
2018,USA,Total,95.93
2020,USA,Total,148.53
2022,USA,Total,135.61
1990,USA,Oil and gas,12.27
1992,USA,Oil and gas,22.26
1994,USA,Oil and gas,18.93
1996,USA,Oil and gas,27.96
1998,USA,Oil and gas,22.73
2000,USA,Oil and gas,35.68
2002,USA,Oil and gas,26.47
2004,USA,Oil and gas,29.68
2006,USA,Oil and gas,24.24
2008,USA,Oil and gas,43.81
2010,USA,Oil and gas,36.7
2012,USA,Oil and gas,88.39
2014,USA,Oil and gas,69.07
2016,USA,Oil and gas,104.93
2018,USA,Oil and gas,87.36
2020,USA,Oil and gas,139.84
2022,USA,Oil and gas,128.91
1990,USA,Coal mining,0.75
1992,USA,Coal mining,1.16
1994,USA,Coal mining,1.13
1996,USA,Coal mining,1.34
1998,USA,Coal mining,1.59
2000,USA,Coal mining,3.58
2002,USA,Coal mining,3.81
2004,USA,Coal mining,2.56
2006,USA,Coal mining,3.08
2008,USA,Coal mining,3.62
2010,USA,Coal mining,8.5
2012,USA,Coal mining,16.63
2014,USA,Coal mining,11.48
2016,USA,Coal mining,13.91
2018,USA,Coal mining,8.57
2020,USA,Coal mining,8.69
2022,USA,Coal mining,6.7
