year,geo,disagg_type,disagg,value
2023,WLD,All,Total,0.93
2023,WLD,Region,East Asia & Pacific,0.067
2023,WLD,Region,Latin America & Caribbean,0.32
2023,WLD,Region,Middle East & North Africa,0.089
2023,WLD,Region,South Asia,0.12
2023,WLD,Region,Sub-Saharan Africa,0.24
2023,WLD,Region,Transregional,0.088
2023,WLD,Institution,Bilateral DFIs,0.10
2023,WLD,Institution,Governments,0.076
2023,WLD,Institution,Multilateral DFIs,0.65
2023,WLD,Institution,National DFIs,0.067
2023,WLD,Institution,State-owned FIs,0.032
2023,WLD,Instrument,Grant,0.12
2023,WLD,Instrument,Low-cost project debt,0.21
2023,WLD,Instrument,Project-level equity,0.049
2023,WLD,Instrument,Project-level market rate debt,0.49
2023,WLD,Instrument,Unknown,0.053
