year,geo,value,projections,benchmark_low,benchmark_mid,benchmark_high
2010,WLD,0.0001,,,,
2011,WLD,0.0001,,,,
2012,WLD,0.0001,,,,
2013,WLD,0.0001,,,,
2014,WLD,0.0001,,,,
2015,WLD,0.0001,,,,
2016,WLD,0.0001,,,,
2017,WLD,0.0001,,,,
2018,WLD,0.0001,,,,
2019,WLD,,,,0.001,
2020,WLD,,,,0.05,
2021,WLD,,,,0.10,
2022,WLD,,,,0.30,
2023,WLD,,,,0.50,
2024,WLD,,,,0.90,
2025,WLD,,,,1.40,
2026,WLD,,,,2.00,
2027,WLD,,,,2.20,
2028,WLD,,,,2.80,
2029,WLD,,,,3.80,
2030,WLD,,0.0001,,5.00,
2031,WLD,,,,6.50,
2032,WLD,,,,9.50,
2033,WLD,,,,13.00,
2034,WLD,,,,18.07,
2035,WLD,,,,22.73,
2036,WLD,,,,27.88,
2037,WLD,,,,33.47,
2038,WLD,,,,39.41,
2039,WLD,,,,45.62,
2040,WLD,,,,52.00,
2041,WLD,,,,58.44,
2042,WLD,,,,64.80,
2043,WLD,,,,70.94,
2044,WLD,,,,76.69,
2045,WLD,,,,81.89,
2046,WLD,,,,86.33,
2047,WLD,,,,89.82,
2048,WLD,,,,92.12,
2049,WLD,,,,93.00,
2050,WLD,,,,93.00,
