year,geo,disagg,value,projections,benchmark_low,benchmark_mid,benchmark_high
2013,WLD,Total,1229,,,,
2014,WLD,Total,1195,,,,
2015,WLD,Total,898,,,,
2016,WLD,Total,825,,,,
2017,WLD,Total,854,,,,
2018,WLD,Total,1044,,,,
2019,WLD,Total,967,,,,
2020,WLD,Total,759,,,,
2021,WLD,Total,1178,,,,
2026,WLD,Total,,1529,,,
2030,WLD,Total,,,,0,
2050,WLD,Total,,,,0,
2010,WLD,Production and consumption subsidies,599,,,,
2011,WLD,Production and consumption subsidies,739,,,,
2012,WLD,Production and consumption subsidies,812,,,,
2013,WLD,Production and consumption subsidies,791,,,,
2014,WLD,Production and consumption subsidies,717,,,,
2015,WLD,Production and consumption subsidies,504,,,,
2016,WLD,Production and consumption subsidies,458,,,,
2017,WLD,Production and consumption subsidies,505,,,,
2018,WLD,Production and consumption subsidies,686,,,,
2019,WLD,Production and consumption subsidies,599,,,,
2020,WLD,Production and consumption subsidies,424,,,,
2021,WLD,Production and consumption subsidies,817,,,,
2022,WLD,Production and consumption subsidies,1682,,,,
2023,WLD,Production and consumption subsidies,1102,,,,
2013,WLD,Public fossil fuel finance,96,,,,
2014,WLD,Public fossil fuel finance,92,,,,
2015,WLD,Public fossil fuel finance,69,,,,
2016,WLD,Public fossil fuel finance,113,,,,
2017,WLD,Public fossil fuel finance,74,,,,
2018,WLD,Public fossil fuel finance,60,,,,
2019,WLD,Public fossil fuel finance,70,,,,
2020,WLD,Public fossil fuel finance,62,,,,
2021,WLD,Public fossil fuel finance,37,,,,
2022,WLD,Public fossil fuel finance,43,,,,
2013,WLD,State-owned entity fossil fuel investment,342,,,,
2014,WLD,State-owned entity fossil fuel investment,386,,,,
2015,WLD,State-owned entity fossil fuel investment,325,,,,
2016,WLD,State-owned entity fossil fuel investment,254,,,,
2017,WLD,State-owned entity fossil fuel investment,275,,,,
2018,WLD,State-owned entity fossil fuel investment,299,,,,
2019,WLD,State-owned entity fossil fuel investment,298,,,,
2020,WLD,State-owned entity fossil fuel investment,273,,,,
2021,WLD,State-owned entity fossil fuel investment,323,,,,
