year,geo,disagg_type,disagg,value
2024,WLD,All,Total,74
2024,WLD,All,Montreal Protocol,94
2024,WLD,All,Rotterdam Convention,81
2024,WLD,All,Minamata Convention,79
2024,WLD,All,Stockholm Convention,91
2024,WLD,All,Basel Convention,92
2024,WLD,Montreal Protocol,Accession,73
2024,WLD,Montreal Protocol,Ratification,19
2024,WLD,Montreal Protocol,Acceptance,3
2024,WLD,Montreal Protocol,Approval,1
2024,WLD,Rotterdam Convention,Accession,57
2024,WLD,Rotterdam Convention,Ratification,36
2025,WLD,Rotterdam Convention,Acceptance,2
2026,WLD,Rotterdam Convention,Approval,2
2027,WLD,Rotterdam Convention,Signatories only,3
2028,WLD,Minamata Convention,Accession,23
2029,WLD,Minamata Convention,Ratification,64
2030,WLD,Minamata Convention,Acceptance,2
2031,WLD,Minamata Convention,Approval,2
2032,WLD,Minamata Convention,Signatories only,8
2033,WLD,Stockholm Convention,Accession,20
2034,WLD,Stockholm Convention,Ratification,74
2035,WLD,Stockholm Convention,Acceptance,2
2036,WLD,Stockholm Convention,Approval,1
2037,WLD,Stockholm Convention,Signatories only,3
2038,WLD,Basel Convention,Accession,72
2039,WLD,Basel Convention,Ratification,22
2040,WLD,Basel Convention,Acceptance,2
2041,WLD,Basel Convention,Approval,3
2042,WLD,Basel Convention,Signatories only,1
2024,AFG,All,Total,1
2024,ALB,All,Total,1
2024,DZA,All,Total,1
2024,AGO,All,Total,1
2024,ATG,All,Total,1
2024,ARG,All,Total,1
2024,ARM,All,Total,1
2024,AUS,All,Total,1
2024,AUT,All,Total,1
2024,BHR,All,Total,1
2024,BLR,All,Total,1
2024,BEL,All,Total,1
2024,BLZ,All,Total,1
2024,BEN,All,Total,1
2024,BOL,All,Total,1
2024,BWA,All,Total,1
2024,BRA,All,Total,1
2024,BGR,All,Total,1
2024,BFA,All,Total,1
2024,BDI,All,Total,1
2024,KHM,All,Total,1
2024,CMR,All,Total,1
2024,CAN,All,Total,1
2024,TCD,All,Total,1
2024,CHL,All,Total,1
2024,CHN,All,Total,1
2024,COL,All,Total,1
2024,COG,All,Total,1
2024,CRI,All,Total,1
2024,CIV,All,Total,1
2024,HRV,All,Total,1
2024,CUB,All,Total,1
2024,CYP,All,Total,1
2024,CZE,All,Total,1
2024,DNK,All,Total,1
2024,DJI,All,Total,1
2024,DOM,All,Total,1
2024,ECU,All,Total,1
2024,SLV,All,Total,1
2024,GNQ,All,Total,1
2024,ERI,All,Total,1
2024,EST,All,Total,1
2024,SWZ,All,Total,1
2024,ETH,All,Total,1
2024,EUU,All,Total,1
2024,FIN,All,Total,1
2024,FRA,All,Total,1
2024,GAB,All,Total,1
2024,GMB,All,Total,1
2024,GEO,All,Total,1
2024,DEU,All,Total,1
2024,GHA,All,Total,1
2024,GRC,All,Total,1
2024,GIN,All,Total,1
2024,GNB,All,Total,1
2024,GUY,All,Total,1
2024,HND,All,Total,1
2024,HUN,All,Total,1
2024,ISL,All,Total,1
2024,IND,All,Total,1
2024,IDN,All,Total,1
2024,IRN,All,Total,1
2024,IRQ,All,Total,1
2024,IRL,All,Total,1
2024,ITA,All,Total,1
2024,JAM,All,Total,1
2024,JPN,All,Total,1
2024,JOR,All,Total,1
2024,KEN,All,Total,1
2024,KWT,All,Total,1
2024,LAO,All,Total,1
2024,LVA,All,Total,1
2024,LBN,All,Total,1
2024,LSO,All,Total,1
2024,LBR,All,Total,1
2024,LBY,All,Total,1
2024,LIE,All,Total,1
2024,LTU,All,Total,1
2024,LUX,All,Total,1
2024,MDG,All,Total,1
2024,MWI,All,Total,1
2024,MYS,All,Total,1
2024,MDV,All,Total,1
2024,MLI,All,Total,1
2024,MLT,All,Total,1
2024,MHL,All,Total,1
2024,MRT,All,Total,1
2024,MUS,All,Total,1
2024,MEX,All,Total,1
2024,MNG,All,Total,1
2024,MNE,All,Total,1
2024,MAR,All,Total,1
2024,MOZ,All,Total,1
2024,NAM,All,Total,1
2024,NPL,All,Total,1
2024,NLD,All,Total,1
2024,NZL,All,Total,1
2024,NIC,All,Total,1
2024,NER,All,Total,1
2024,NGA,All,Total,1
2024,MKD,All,Total,1
2024,NOR,All,Total,1
2024,OMN,All,Total,1
2024,PAK,All,Total,1
2024,PAN,All,Total,1
2024,PRY,All,Total,1
2024,PER,All,Total,1
2024,PHL,All,Total,1
2024,POL,All,Total,1
2024,QAT,All,Total,1
2024,KOR,All,Total,1
2024,MDA,All,Total,1
2024,ROU,All,Total,1
2024,RUS,All,Total,1
2024,RWA,All,Total,1
2024,KNA,All,Total,1
2024,LCA,All,Total,1
2024,VCT,All,Total,1
2024,WSM,All,Total,1
2024,STP,All,Total,1
2024,SAU,All,Total,1
2024,SEN,All,Total,1
2024,SRB,All,Total,1
2024,SYC,All,Total,1
2024,SLE,All,Total,1
2024,SGP,All,Total,1
2024,SVK,All,Total,1
2024,SVN,All,Total,1
2024,ZAF,All,Total,1
2024,ESP,All,Total,1
2024,LKA,All,Total,1
2024,PSE,All,Total,1
2024,SDN,All,Total,1
2024,SUR,All,Total,1
2024,SWE,All,Total,1
2024,CHE,All,Total,1
2024,SYR,All,Total,1
2024,THA,All,Total,1
2024,TGO,All,Total,1
2024,TON,All,Total,1
2024,TUN,All,Total,1
2024,TUR,All,Total,1
2024,TUV,All,Total,1
2024,UGA,All,Total,1
2024,UKR,All,Total,1
2024,ARE,All,Total,1
2024,GBR,All,Total,1
2024,TZA,All,Total,1
2024,USA,All,Total,1
2024,URY,All,Total,1
2024,VUT,All,Total,1
2024,VEN,All,Total,1
2024,VNM,All,Total,1
2024,YEM,All,Total,1
2024,ZMB,All,Total,1
2024,ZWE,All,Total,1
2024,LSO,All,Total,1
2024,NIU,All,Total,1
2024,NRU,All,Total,1
2024,OMN,All,Total,1
2024,PNG,All,Total,1
2024,SAU,All,Total,1
2024,STP,All,Total,1
2024,SUR,All,Total,1
2024,TON,All,Total,1
2024,VUT,All,Total,1
2024,AFG,All,Total,1
2024,POR,All,Total,1
2024,AND,All,Total,1
2024,AZE,All,Total,1
2024,BTN,All,Total,1
2024,BWA,All,Total,1
2024,CPV,All,Total,1
2024,COK,All,Total,1
2024,PRK,All,Total,1
2024,COD,All,Total,1
2024,DMA,All,Total,1
2024,GNQ,All,Total,1
2024,ERI,All,Total,1
2024,EST,All,Total,1
2024,SWZ,All,Total,1
2024,GRD,All,Total,1
2024,MHL,All,Total,1
2024,MMR,All,Total,1
2024,QAT,All,Total,1
2024,RWA,All,Total,1
2024,KNA,All,Total,1
2024,VCT,All,Total,1
2024,SMR,All,Total,1
2024,SLB,All,Total,1
2024,SOM,All,Total,1
2024,PSE,All,Total,1
2024,TTO,All,Total,1
2024,TKM,All,Total,1
2024,TUV,All,Total,1
2024,UZB,All,Total,1
2024,PRT,All,Total,1
2024,AND,All,Total,0
2024,AZE,All,Total,0
2024,BHS,All,Total,0
2024,BGD,All,Total,0
2024,BRB,All,Total,0
2024,BTN,All,Total,0
2024,BIH,All,Total,0
2024,BRN,All,Total,0
2024,CPV,All,Total,0
2024,CAF,All,Total,0
2024,COM,All,Total,0
2024,COK,All,Total,0
2024,PRK,All,Total,0
2024,COD,All,Total,0
2024,DMA,All,Total,0
2024,EGY,All,Total,0
2024,FJI,All,Total,0
2024,GRD,All,Total,0
2024,GTM,All,Total,0
2024,HTI,All,Total,0
2024,VAT,All,Total,0
2024,KAZ,All,Total,0
2024,KIR,All,Total,0
2024,KGZ,All,Total,0
2024,FSM,All,Total,0
2024,MCO,All,Total,0
2024,MMR,All,Total,0
2024,NRU,All,Total,0
2024,NIU,All,Total,0
2024,PLW,All,Total,0
2024,PNG,All,Total,0
2024,PRT,All,Total,0
2024,SMR,All,Total,0
2024,SLB,All,Total,0
2024,SOM,All,Total,0
2024,SSD,All,Total,0
2024,TJK,All,Total,0
2024,TLS,All,Total,0
2024,TTO,All,Total,0
2024,TKM,All,Total,0
2024,UZB,All,Total,0
2024,ISR,All,Total,0
