year,geo,disagg_type,disagg,value
2000,WLD,All,Total,15
2001,WLD,All,Total,17
2002,WLD,All,Total,18
2003,WLD,All,Total,25
2004,WLD,All,Total,31
2005,WLD,All,Total,36
2006,WLD,All,Total,43
2007,WLD,All,Total,51
2008,WLD,All,Total,63
2009,WLD,All,Total,73
2010,WLD,All,Total,85
2011,WLD,All,Total,103
2012,WLD,All,Total,121
2013,WLD,All,Total,146
2014,WLD,All,Total,158
2015,WLD,All,Total,189
2016,WLD,All,Total,208
2017,WLD,All,Total,228
2018,WLD,All,Total,256
2019,WLD,All,Total,292
2020,WLD,All,Total,328
2021,WLD,All,Total,375
2022,WLD,All,Total,424
2023,WLD,All,Total,502
2024,WLD,All,Total,677
2025,WLD,All,Total,955
2026,WLD,All,Total,1200
2027,WLD,All,Total,1402
2028,WLD,All,Total,1570
2029,WLD,All,Total,1620
2030,WLD,All,Total,1809
2031,WLD,All,Total,1819
2032,WLD,All,Total,1837
2033,WLD,All,Total,1843
2034,WLD,All,Total,1844
2035,WLD,All,Total,1854
2036,WLD,All,Total,1855
2037,WLD,All,Total,1856
2038,WLD,All,Total,1857
2040,WLD,All,Total,1863
2043,WLD,All,Total,1864
1965,WLD,Status,Concept,0
1975,WLD,Status,Concept,0
1982,WLD,Status,Concept,0
1992,WLD,Status,Concept,0
2000,WLD,Status,Concept,0
2001,WLD,Status,Concept,0
2002,WLD,Status,Concept,0
2003,WLD,Status,Concept,0
2004,WLD,Status,Concept,0
2005,WLD,Status,Concept,0
2006,WLD,Status,Concept,0
2007,WLD,Status,Concept,0
2008,WLD,Status,Concept,0
2009,WLD,Status,Concept,0
2010,WLD,Status,Concept,0
2011,WLD,Status,Concept,0
2012,WLD,Status,Concept,0
2013,WLD,Status,Concept,0
2014,WLD,Status,Concept,0
2015,WLD,Status,Concept,0
2016,WLD,Status,Concept,0
2017,WLD,Status,Concept,0
2018,WLD,Status,Concept,0
2019,WLD,Status,Concept,0
2020,WLD,Status,Concept,0
2021,WLD,Status,Concept,0
2022,WLD,Status,Concept,0
2023,WLD,Status,Concept,0
2024,WLD,Status,Concept,1
2025,WLD,Status,Concept,37
2026,WLD,Status,Concept,71
2027,WLD,Status,Concept,119
2028,WLD,Status,Concept,173
2029,WLD,Status,Concept,193
2030,WLD,Status,Concept,289
2031,WLD,Status,Concept,295
2032,WLD,Status,Concept,307
2033,WLD,Status,Concept,312
2034,WLD,Status,Concept,313
2035,WLD,Status,Concept,321
2036,WLD,Status,Concept,321
2037,WLD,Status,Concept,321
2038,WLD,Status,Concept,321
