year,geo,disagg_type,disagg,value
2010,WLD,All,Total,31
2011,WLD,All,Total,34
2012,WLD,All,Total,35
2013,WLD,All,Total,48
2014,WLD,All,Total,44
2015,WLD,All,Total,36
2016,WLD,All,Total,33
2017,WLD,All,Total,30
2018,WLD,All,Total,33
2019,WLD,All,Total,34
2020,WLD,All,Total,31
2021,WLD,All,Total,37
2022,WLD,All,Total,45
2023,WLD,All,Total,36
2010,WLD,Fossil Fuel Type,Coal,8.7
2011,WLD,Fossil Fuel Type,Coal,9
2012,WLD,Fossil Fuel Type,Coal,8
2013,WLD,Fossil Fuel Type,Coal,9
2014,WLD,Fossil Fuel Type,Coal,9
2015,WLD,Fossil Fuel Type,Coal,8
2016,WLD,Fossil Fuel Type,Coal,8
2017,WLD,Fossil Fuel Type,Coal,7.6
2018,WLD,Fossil Fuel Type,Coal,9.4
2019,WLD,Fossil Fuel Type,Coal,10
2020,WLD,Fossil Fuel Type,Coal,7
2021,WLD,Fossil Fuel Type,Coal,7
2022,WLD,Fossil Fuel Type,Coal,8
2023,WLD,Fossil Fuel Type,Coal,8
2010,WLD,Fossil Fuel Type,Natural gas,6
2011,WLD,Fossil Fuel Type,Natural gas,5.8
2012,WLD,Fossil Fuel Type,Natural gas,7.5
2013,WLD,Fossil Fuel Type,Natural gas,14
2014,WLD,Fossil Fuel Type,Natural gas,13
2015,WLD,Fossil Fuel Type,Natural gas,10
2016,WLD,Fossil Fuel Type,Natural gas,10
2017,WLD,Fossil Fuel Type,Natural gas,8
2018,WLD,Fossil Fuel Type,Natural gas,9
2019,WLD,Fossil Fuel Type,Natural gas,9
2020,WLD,Fossil Fuel Type,Natural gas,9
2021,WLD,Fossil Fuel Type,Natural gas,11
2022,WLD,Fossil Fuel Type,Natural gas,11
2023,WLD,Fossil Fuel Type,Natural gas,10
2010,WLD,Fossil Fuel Type,Petroleum,16
2011,WLD,Fossil Fuel Type,Petroleum,19.5
2012,WLD,Fossil Fuel Type,Petroleum,20
2013,WLD,Fossil Fuel Type,Petroleum,25
2014,WLD,Fossil Fuel Type,Petroleum,23
2015,WLD,Fossil Fuel Type,Petroleum,17
2016,WLD,Fossil Fuel Type,Petroleum,15
2017,WLD,Fossil Fuel Type,Petroleum,14
2018,WLD,Fossil Fuel Type,Petroleum,15
2019,WLD,Fossil Fuel Type,Petroleum,16
2020,WLD,Fossil Fuel Type,Petroleum,15.9
2021,WLD,Fossil Fuel Type,Petroleum,19
2022,WLD,Fossil Fuel Type,Petroleum,27
2023,WLD,Fossil Fuel Type,Petroleum,18
2010,ABW,All,Total,0
2011,ABW,All,Total,0
2012,ABW,All,Total,0
2013,ABW,All,Total,0
2014,ABW,All,Total,0
2015,ABW,All,Total,0
2016,ABW,All,Total,0
2017,ABW,All,Total,0
2018,ABW,All,Total,0
2019,ABW,All,Total,0
2020,ABW,All,Total,0
2021,ABW,All,Total,0
2022,ABW,All,Total,0
2023,ABW,All,Total,0
2010,AFG,All,Total,0
2011,AFG,All,Total,0
2012,AFG,All,Total,0
2013,AFG,All,Total,0
2014,AFG,All,Total,0
2015,AFG,All,Total,0
2016,AFG,All,Total,0
2017,AFG,All,Total,0
2018,AFG,All,Total,0
2019,AFG,All,Total,0
2020,AFG,All,Total,0
2021,AFG,All,Total,0
2022,AFG,All,Total,0
2023,AFG,All,Total,0
2010,AGO,All,Total,0
2011,AGO,All,Total,0
2012,AGO,All,Total,0
2013,AGO,All,Total,0
2014,AGO,All,Total,0
2015,AGO,All,Total,0
2016,AGO,All,Total,0
2017,AGO,All,Total,0
2018,AGO,All,Total,0
2019,AGO,All,Total,0
2020,AGO,All,Total,0
2021,AGO,All,Total,0
2022,AGO,All,Total,0
2023,AGO,All,Total,0
2010,ALB,All,Total,0
2011,ALB,All,Total,0
2012,ALB,All,Total,0
2013,ALB,All,Total,0
2014,ALB,All,Total,0
2015,ALB,All,Total,0
2016,ALB,All,Total,0
2017,ALB,All,Total,0
2018,ALB,All,Total,0
2019,ALB,All,Total,0
2020,ALB,All,Total,0
2021,ALB,All,Total,0
2022,ALB,All,Total,0
2023,ALB,All,Total,0
2010,ARE,All,Total,0
2011,ARE,All,Total,0
2012,ARE,All,Total,0
2013,ARE,All,Total,0
2014,ARE,All,Total,0
2015,ARE,All,Total,0
2016,ARE,All,Total,0
2017,ARE,All,Total,0
2018,ARE,All,Total,0
2019,ARE,All,Total,0
2020,ARE,All,Total,0
2021,ARE,All,Total,0
2022,ARE,All,Total,0
2023,ARE,All,Total,0
2010,ARG,All,Total,2.7
2011,ARG,All,Total,4.1
2012,ARG,All,Total,5.2
2013,ARG,All,Total,6.5
2014,ARG,All,Total,6.6
2015,ARG,All,Total,5.0
2016,ARG,All,Total,5.2
2017,ARG,All,Total,3.8
2018,ARG,All,Total,2.8
2019,ARG,All,Total,2.7
2020,ARG,All,Total,2.6
2021,ARG,All,Total,4.3
2022,ARG,All,Total,2.7
2023,ARG,All,Total,2.8
2010,ARM,All,Total,0
2011,ARM,All,Total,0
2012,ARM,All,Total,0
2013,ARM,All,Total,0
2014,ARM,All,Total,0
2015,ARM,All,Total,0
2016,ARM,All,Total,0
2017,ARM,All,Total,0
2018,ARM,All,Total,0
2019,ARM,All,Total,0
2020,ARM,All,Total,0
2021,ARM,All,Total,0
2022,ARM,All,Total,0
2023,ARM,All,Total,0
2010,ATG,All,Total,0
2011,ATG,All,Total,0
2012,ATG,All,Total,0
2013,ATG,All,Total,0
2014,ATG,All,Total,0
2015,ATG,All,Total,0
2016,ATG,All,Total,0
2017,ATG,All,Total,0
2018,ATG,All,Total,0
2019,ATG,All,Total,0
2020,ATG,All,Total,0
2021,ATG,All,Total,0
2022,ATG,All,Total,0
2023,ATG,All,Total,0
2010,AUS,All,Total,2.3
2011,AUS,All,Total,3.1
2012,AUS,All,Total,2.2
2013,AUS,All,Total,2.4
2014,AUS,All,Total,2.3
2015,AUS,All,Total,2.0
2016,AUS,All,Total,2.0
2017,AUS,All,Total,2.2
2018,AUS,All,Total,2.3
2019,AUS,All,Total,2.1
2020,AUS,All,Total,2.2
2021,AUS,All,Total,2.3
2022,AUS,All,Total,2.7
2023,AUS,All,Total,3.1
2010,AUT,All,Total,0.1
2011,AUT,All,Total,0.1
2012,AUT,All,Total,0.1
2013,AUT,All,Total,0.1
2014,AUT,All,Total,0.1
2015,AUT,All,Total,0.1
2016,AUT,All,Total,0.0
2017,AUT,All,Total,0.0
2018,AUT,All,Total,0.0
2019,AUT,All,Total,0.0
2020,AUT,All,Total,0.0
2021,AUT,All,Total,0.0
2022,AUT,All,Total,0.0
2023,AUT,All,Total,0.0
2010,AZE,All,Total,0
2011,AZE,All,Total,0
2012,AZE,All,Total,0
2013,AZE,All,Total,0
2014,AZE,All,Total,0
2015,AZE,All,Total,0
2016,AZE,All,Total,1.1
2017,AZE,All,Total,0
2018,AZE,All,Total,0.7
2019,AZE,All,Total,0.1
2020,AZE,All,Total,0.2
2021,AZE,All,Total,0.0
2022,AZE,All,Total,0.0
2023,AZE,All,Total,0.1
2010,BDI,All,Total,0
2011,BDI,All,Total,0
2012,BDI,All,Total,0
2013,BDI,All,Total,0
2014,BDI,All,Total,0
2015,BDI,All,Total,0
2016,BDI,All,Total,0
2017,BDI,All,Total,0
2018,BDI,All,Total,0
2019,BDI,All,Total,0
2020,BDI,All,Total,0
2021,BDI,All,Total,0
2022,BDI,All,Total,0
2023,BDI,All,Total,0
2010,BEL,All,Total,0
2011,BEL,All,Total,0
2012,BEL,All,Total,0
2013,BEL,All,Total,0
2014,BEL,All,Total,0
2015,BEL,All,Total,0
2016,BEL,All,Total,0
2017,BEL,All,Total,0
2018,BEL,All,Total,0
2019,BEL,All,Total,0
2020,BEL,All,Total,0
2021,BEL,All,Total,0
2022,BEL,All,Total,0
2023,BEL,All,Total,0
2010,BEN,All,Total,0
2011,BEN,All,Total,0
2012,BEN,All,Total,0
2013,BEN,All,Total,0
2014,BEN,All,Total,0
2015,BEN,All,Total,0
2016,BEN,All,Total,0
2017,BEN,All,Total,0
2018,BEN,All,Total,0
2019,BEN,All,Total,0
2020,BEN,All,Total,0
2021,BEN,All,Total,0
2022,BEN,All,Total,0
2023,BEN,All,Total,0
2010,BFA,All,Total,0
2011,BFA,All,Total,0
2012,BFA,All,Total,0
2013,BFA,All,Total,0
2014,BFA,All,Total,0
2015,BFA,All,Total,0
2016,BFA,All,Total,0
2017,BFA,All,Total,0
2018,BFA,All,Total,0
2019,BFA,All,Total,0
2020,BFA,All,Total,0
2021,BFA,All,Total,0
2022,BFA,All,Total,0
2023,BFA,All,Total,0
2010,BGD,All,Total,0
2011,BGD,All,Total,0
2012,BGD,All,Total,0
2013,BGD,All,Total,0
